Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Musical_Era,Voice_Presence,Predominant_Voice_Gender,Genre_Tags,Sub_Genre_Tags,Free Genre,Description,Instrument_Tags,Emotional_Profile,Mood_Tags,Simple_Mood_Tags,Character_Tags,Movement_Tags,Energy,BPM,Key,Meter
Dancing With Your Ghost,1TQXIltqoZ5XXyfCbAeSQQ,Sasha Alex Sloan,645605129,2019-06-28,contemporary,high,female,"pop,rock","folkRock,indieAlternative,popSoftRock",,emotive and uplifting pop ballad featuring tender piano chords acoustic guitar and building drums,"percussion,strings,piano,bass,bassGuitar",balanced,"reflective,emotional,nostalgic,thoughtful,romantic,bittersweet,sentimental,solemn","calm,chilled,romantic,sad,ethereal",sparkling,flowing,low,75,bMajor,4/4
Train Wreck,55Am8neGJkdj2ADaM3aw5H,James Arthur,884095837,2016-10-28,contemporary,high,male,"pop,rock",popSoftRock,,emotional piano intro building up with electric guitar and strings. confident and emotional. a 4 4,"percussion,strings,bass",balanced,"emotional,thoughtful,solemn,bittersweet,sad,concerned,spiritual","calm,chilled,romantic,ethereal",warm,"flowing,driving",low,75,aMajor,4/4
"1 step forward, 3 steps back",4wcBRRpIfesgcyUtis7PEg,Olivia Rodrigo,564768160,2021-05-21,contemporary,high,female,"pop,singerSongwriter",,"indie, indie folk, pop",sweet and innocent female vocals join in this melancholic acoustic guitar and strings to create a child - like atmosphere.,"acousticGuitar,piano,percussion",balanced,"intimate,warm,reflective,tender,loving","chilled,romantic","warm,sparkling,playful","flowing,steady",low,85,dMajor,4/4
Love Is Gone - Acoustic,7F1CiKqrY44kh5cDqwHOnx,"SLANDER, Dylan Matthew",553401428,2019-11-13,late 2000s / contemporary,high,male,"pop,rock,singerSongwriter","folk,popSoftRock",,a rousing and soaring anthem of positivity,piano,balanced,"emotional,thoughtful,solemn,bittersweet,concerned","calm,chilled,romantic,sad",warm,stomping,low,140,fsMajor,4/4
Look After You,5l6hpyTGBK0LAAxgPnqTQL,The Fray,329822605,2005-09-13,contemporary,high,male,"rock,singerSongwriter,pop","country,indieAlternative",,anthemic and poignant. aerial electric guitars touching piano melody and moving string orchestra over rock drums and moving male choirs,"percussion,electricGuitar,bass,bassGuitar",balanced,"emotional,thoughtful,bittersweet,solemn,sad,reflective,spiritual,concerned,poignant,nostalgic","energetic,epic","heroic,warm,epic",stomping,high,78,aMajor,4/4
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,1884158519,2018-06-29,contemporary,high,male,"folkCountry,pop",country,"pop rock, acoustic cover, channel pop, post teen pop, viral pop, neo mellow","emotive, heartfelt modern pop ballad with male vocals.","acousticGuitar,bassGuitar,piano,synth,percussion,electricGuitar",balanced,"emotional,reflective,bittersweet,hopeful,warm,melancholic,loving,sentimental,poignant,uplifting,inspirational","romantic,chilled,calm",warm,"flowing,steady,stomping",medium,127,bMajor,4/4
Impossible,5yVIlYEHZxQVLyInCdldoS,James Arthur,860592129,2013-11-04,contemporary,high,male,pop,,,powerful and positive pop meets trailer risers for a big finish,"percussion,strings,bass",balanced,"confident,motivational,inspirational,uplifting,anthemic,aweInspiring,soaring,proud,triumphant,passionate","epic,energetic","epic,powerful",stomping,medium,85,ebMajor,4/4
Arcade,1Xi84slp6FryDSCbzq4UCD,Duncan Laurence,1304757995,2019-03-07,contemporary,high,female,"pop,folkCountry",folk,"rebel blues, bossbeat","i'll be your saviour. sensitive, warming and uplifting.","acousticGuitar,bassGuitar,piano,percussion,electricGuitar",positive,"anthemic,inspirational,uplifting,soaring,confident","epic,energetic,uplifting","epic,cool,powerful",stomping,high,144,aMinor,4/4
"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,"gnash, Olivia O'Brien",1459435335,2016-03-25,mid / late 2000s,high,female,"pop,rock,singerSongwriter","folkRock,indieAlternative,popSoftRock",,touching piano ballad with charismatic heartfelt female vocal and half time drums expands to captivating choruses with wide piano chords and strings,"percussion,piano,electricGuitar,bass",balanced,"emotional,thoughtful,sad,reflective,bittersweet,solemn,nostalgic,spiritual,poignant,blue,concerned,introspective,melancholic","calm,chilled,romantic,sad,ethereal","sparkling,warm",flowing,low,93,fsMinor,4/4
Solo,4Skkx52Dh8yo4G1ijAEGs3,Myles Smith,150597709,2023-11-15,contemporary,high,male,"rock,pop","folkRock,indieAlternative","indie, pop, rock","i'll be your saviour. sensitive, warming and uplifting.","acousticGuitar,bassGuitar,piano,synth,percussion,electricGuitar",positive,"bright,soaring,anthemic,inspirational,uplifting","epic,energetic,happy","sparkling,epic",stomping,high,123,cMajor,4/4
Heal,4KlL5Bwlm4yHYxr0B2rHci,Tom Odell,378107542,2013-06-24,late 1980s / early 1990s,high,male,"rock,singerSongwriter,pop","folk,folkRock,indieAlternative,psychedelicProgressiveRock",,tender and heartfelt piano ballad with beautiful string accompaniment and a sweet sentiment,"piano,bassGuitar",negative,"reflective,nostalgic,thoughtful,emotional,calm,sentimental,bittersweet,quiet,romantic,dreamy,spiritual,solemn,introspective","calm,chilled,romantic,sad,ethereal",warm,flowing,low,72,dbMajor,4/4
If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,"JP Saxe, Julia Michaels",1232317745,2019-10-17,contemporary,high,male,funkSoul,"neoSoul,soul",,poignant emotive piano full of belief and wonder,,negative,"thoughtful,emotional,sad,reflective,bittersweet,nostalgic,solemn,spiritual,blue,introspective,melancholic,poignant,lonely,concerned","calm,chilled,romantic,sad,ethereal",warm,"stomping,driving",low,75,dbMajor,4/4
You Found Me,4IoYz8XqqdowINzfRrFnhi,The Fray,545062489,2009-02-02,contemporary,high,male,"rock,pop,singerSongwriter",indieAlternative,,medium mid tempo alternative rock song featuring melodic guitars driving drums and male vocals,"percussion,electricGuitar,acousticGuitar,bass,bassGuitar",negative,"emotional,hopeful,solemn,passionate,thoughtful","energetic,epic",warm,stomping,high,152,bMajor,4/4
To Build A Home,54KFQB6N4pn926IUUYZGzK,"The Cinematic Orchestra, Patrick Watson",671977293,2007-05-07,late 1990s / early 2000s,high,male,pop,,,warm and hopeful. tender piano and uplifting strings create an aura of optimism,piano,negative,"emotional,reflective,thoughtful,nostalgic,sad,bittersweet,solemn,spiritual,poignant,blue,introspective,melancholic,sentimental,concerned,lonely","calm,chilled,romantic,sad",warm,flowing,low,75,aMajor,4/4
Unsteady,7lGKEWMXVWWTt3X71Bv44I,X Ambassadors,707936215,2015-06-30,contemporary,high,male,pop,,"indie, shimmer pop, chillwave, indie rock","a dark, laid back hip hop track featuring sampled drums, guitar and male rap vocals.","bassGuitar,piano,synth,percussion,electricGuitar",balanced,"bittersweet,serious,lonely,sad,mysterious","dark,sad,ethereal",cool,stomping,medium,117,dMajor,4/4
Halo,4JehYebiI9JE8sR8MisGVb,Beyoncé,1686684395,2008-11-17,contemporary,high,female,"rnb,pop",,"dance pop, r & b, pop",we're gonna be legendary.,"piano,synth,percussion",positive,"anthemic,powerful,strong,epic,confident","epic,uplifting,energetic",epic,stomping,high,80,aMajor,4/4
Strange,7sq2z9oX2S0CvgTqCZ0ko4,Celeste,208248488,2021-01-29,contemporary,high,female,"pop,rnb",,"indie folk, pop folk, new americana","a slow, heartfelt ballad with soulful female vocal and uplifting chorus.","bassGuitar,piano,strings,synth",balanced,"emotional,reflective,intimate,warm,sentimental","romantic,chilled,calm","warm,sparkling",flowing,low,70,dMajor,4/4
Trouble,0R8P9KfGJCDULmlEoBagcO,Coldplay,394569042,2000-07-10,mid / late 2000s,high,male,"rock,singerSongwriter,pop","folk,indieAlternative,popSoftRock",,medium tempo and uplifting country pop rock with male vocals piano and strings,"percussion,piano,electricGuitar,acousticGuitar,bass,bassGuitar",balanced,"reflective,emotional,nostalgic,thoughtful,bittersweet,sentimental,solemn,romantic,spiritual","calm,chilled,romantic",warm,flowing,low,140,dMajor,4/4
All Out of Love,7dQC53NiYOY9gKg3Qsu2Bs,Air Supply,482905097,1980-02-25,late 1970s / early 1980s,high,female,"pop,rock",popSoftRock,,a warm pop rock track with a romantic tone,"percussion,strings,acousticGuitar,bass,bassGuitar",balanced,"solemn,noble,dignified,spiritual,prestigious","chilled,romantic,sad","retro,warm",steady,medium,110,cMajor,4/4
Dusk Till Dawn (feat. Sia) - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,"ZAYN, Sia",1865483722,2017-09-07,contemporary,high,male,pop,,,powerful and stirring strings suggest statement of intent,"percussion,synth,strings,bass",negative,"emotional,passionate,serious,solemn,concerned","epic,sad",epic,driving,medium,180,dMajor,4/4
That Home,6q4c1vPRZREh7nw3wG7Ixz,The Cinematic Orchestra,152924379,2007-05-07,mid / late 2000s,high,male,pop,,,a slow and tragic track with a hopeful and loving tone,"strings,piano",negative,"thoughtful,emotional,sad,reflective,bittersweet,nostalgic,solemn,melancholic,blue,spiritual,poignant,lonely,introspective,concerned","calm,chilled,romantic,sad,ethereal",epic,flowing,low,85,aMajor,4/4
Skinny Love,4RL77hMWUq35NYnPLXBpih,Birdy,869146415,2011-11-04,contemporary,high,female,"pop,rock,singerSongwriter,folkCountry","folkRock,indieAlternative,popSoftRock",,beautiful and sorrowful neo classical piece packed full of emotion where warm and delicate piano and raw strings create a warm and sentimental bed with female vocals,piano,balanced,"reflective,nostalgic,thoughtful,emotional,bittersweet,sad,sentimental,solemn,spiritual,quiet,calm,introspective,romantic,blue","calm,chilled,romantic,sad","playful,warm,sophisticated,luxurious,cool",flowing,low,171,eMajor,4/4
Little Do You Know,1almCHdsfikRPfVB9VrEdT,Alex & Sierra,763628215,2014-10-06,contemporary,high,female,"rock,singerSongwriter,pop","folk,folkRock,indieAlternative,popSoftRock",,a heartfelt and hopeful beauty of an indie pop ballad,"percussion,electricGuitar,acousticGuitar,bassGuitar",balanced,"inspirational,uplifting,aweInspiring,passionate,soaring","calm,chilled,happy,romantic",sparkling,stomping,low,73,cMajor,4/4
Before You Leave Me,7qoxdajngC0j9VXrcnephA,Alex Warren,194669719,2024-02-16,contemporary,high,male,"folkCountry,pop",country,"contemporary country, country road, black americana","a motivational anthem to get up and dance! this is all bring it on, uplifting and anthemic singalong.","acousticGuitar,bassGuitar,piano,synth,percussion,electricGuitar",positive,"anthemic,inspirational,uplifting,motivational,confident,soaring","energetic,uplifting,epic","cool,epic","stomping,driving",high,120,bMajor,4/4
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,3756504625,2018-11-08,contemporary,high,male,pop,,"pop rock, alt z, post teen pop, viral pop, dance pop, electropop, indie poptimism, pop","emotive, heartfelt modern pop ballad with male vocals.","piano,synth",balanced,"emotional,inspirational,soaring,passionate,uplifting,bittersweet,hopeful,poignant","uplifting,energetic,epic",epic,"stomping,flowing,driving,pulsing,bouncy,steady,running",medium,110,dbMajor,4/4
Wait,01Q3OyB05mLgH01fpdAMPP,M83,404827545,2011-10-17,early / mid 2000s,high,male,folkCountry,country,,a heartfelt and hopeful beauty of an indie pop ballad,"percussion,strings,electricGuitar,acousticGuitar,bass,bassGuitar",balanced,"emotional,thoughtful,solemn,bittersweet,reflective,sad,spiritual,nostalgic","epic,romantic,sad","epic,warm,ethereal",flowing,medium,148,dMajor,4/4
Breakeven,1fyysXwSGNtMeqMBLwW3SI,The Script,998871562,2008-07-14,mid / late 2000s,high,male,"pop,rock,singerSongwriter,folkCountry",popSoftRock,"indie, mundart, rock",uplifting pop rock with bright piano and male vocals. positive and hopeful feeling.,"acousticGuitar,brassWoodwinds,piano,percussion,electricGuitar",positive,"uplifting,positive,optimistic,feelGood,bright","happy,chilled,romantic",warm,"groovy,bouncy,stomping,steady,flowing,driving",medium,94,bbMajor,4/4
BLEED,2m6HgwjakjAXimujX8m4sk,The Kid LAROI,101211909,2023-11-10,contemporary,high,male,"pop,rock",popSoftRock,social media pop,"emotional pop song with male vocals. hopeful and uplifting feeling with acoustic guitar, piano, strings and drums.","acousticGuitar,bassGuitar,piano,percussion,electricGuitar",balanced,"warm,loving,hopeful,reflective,bittersweet,emotional,uplifting,sentimental,romantic,tender","romantic,chilled",warm,"stomping,steady",medium,175,bbMinor,3/4
Goodbye,5PihYbt4uNnVt68l5D1SGb,Air Supply,135893722,1993-05-07,mid / late 2000s,high,female,pop,,,medium tempo and soaring alternative rock ballad with female vocals and piano,"percussion,electricGuitar,acousticGuitar,bass,bassGuitar",negative,"emotional,reflective,thoughtful,solemn,bittersweet",sad,warm,flowing,medium,130,cMinor,4/4
Before You Go,7ce20yLkzuXXLUhzIDoZih,Lewis Capaldi,2096253694,2019-11-19,,,,,,,,,,,,,,,,,
Goodbye My Lover,6gxycjJNMgmAyfzUXBN80P,James Blunt,356128046,2005-08-08,early / mid 2000s,high,male,blues,,,passionate and powerful. piano male singer electric guitar and rhythm,piano,negative,"emotional,sad,thoughtful,bittersweet,solemn,poignant,spiritual,concerned,blue,lonely,melancholic","calm,chilled,romantic,sad,ethereal","cool,powerful,bold,unpolished,epic,heroic",flowing,low,95,eMajor,4/4
birthday cake,7dDrR6vMK1JAwZZ5MIWgme,Dylan Conrique,190641223,2022-02-02,contemporary,high,female,"pop,electronicDance",electro,,cinematic and dramatic orchestral. poignant and triumphant. moving symphony orchestra piano and synths layers over a catchy rhythmic,,negative,"emotional,solemn,passionate,serious,concerned","epic,romantic,sad",epic,"flowing,driving",medium,115,ebMajor,3/4
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,1007592034,2019-07-19,contemporary,high,male,"rnb,pop",,pop r & b,emotional and sentimental randb underscore with dreamy synths and male vocals.,"synth,percussion,bass",positive,"passionate,serious,reflective,seductive,confident","romantic,sexy,chilled",cool,groovy,medium,83,eMajor,4/4
Dynasty,0heE5tAAaDQmnGhVDImPl2,MIIA,250868535,2016-01-29,contemporary,high,female,"pop,folkCountry",country,,another step to glory with this beautifully inspiring ballad,"percussion,acousticGuitar,bass",balanced,"emotional,thoughtful,sad,bittersweet,solemn,reflective,poignant,spiritual,concerned,nostalgic","chilled,romantic",epic,"bouncy,driving,pulsing,flowing,stomping",low,124,gsMinor,4/4
Let It Go,40EB7ABUO6MoWMUwPKptJ7,James Bay,1261258782,2015-03-23,contemporary,high,female,folkCountry,folk,"indie, alternative ccm, indiecoustica, anthem worship, pop","a dark and dramatic rock track, thought provoking with female vocals, drums, bass, guitars and organ.","acousticGuitar,bassGuitar,piano,percussion,electricGuitar",balanced,"bittersweet,emotional,reflective,melancholic,passionate","romantic,chilled,sad","cool,warm","stomping,flowing",medium,74,dbMajor,4/4
Never Say Never,57uX2vR9j9DNiANDYfXw1i,The Fray,260812073,2009-02-02,late 2000s / contemporary,high,male,rock,"indieAlternative,popSoftRock",,a 70's inspired feelgood hazy and sundrenched trip,"percussion,electricGuitar,bass,bassGuitar",balanced,"emotional,solemn,hopeful,passionate,aweInspiring","energetic,epic","epic,powerful,heroic,unpolished,ethereal",stomping,high,160,abMajor,4/4
Be My Mistake,18UsAG7SfOQ5sxJEdjAMH0,The 1975,222793556,2018-11-30,contemporary,high,male,pop,,"indie, indie folk, neo mellow, stomp and holler","acoustic guitar and male vocals, accompanied by piano and a soft beat. well - suited as a score track for drama or romance!","acousticGuitar,piano",negative,"tender,warm,reflective,intimate,sentimental,melancholic,bittersweet,lonely,nostalgic,loving,emotional,hopeful,sad,delicate,poignant,introspective,thoughtful,romantic,soft,blue,peaceful,dreamy,calm,serene,quiet,light,sweet","romantic,chilled,sad",warm,"flowing,steady",low,74,dbMajor,4/4
Love You Goodbye,1ZWLWVqeEMWMKTlteS0yLH,One Direction,220213351,2015-11-13,contemporary,high,male,"pop,rock",popSoftRock,,a heartfelt and hopeful beauty of an indie pop ballad,"percussion,electricGuitar,bass,bassGuitar",balanced,"hopeful,warm,optimistic,emotional,romantic","energetic,epic","heroic,epic,ethereal,warm",flowing,high,133,dbMajor,4/4
Take Me Home,6oO10y1h2VyxJQfomG4CtH,Jess Glynne,370016786,2015,contemporary,high,female,pop,,,soulful pop ballad with empowering female vocals stripped back verses and empowering choruses featuring piano and spacious drums,"percussion,synth,bass",balanced,"romantic,emotional,reflective,thoughtful,warm","calm,chilled,romantic,ethereal","sparkling,warm",flowing,low,150,aMajor,4/4
Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,Joel Adams,692759859,2015-11-06,contemporary,high,female,pop,,,powerful and stirring strings suggest statement of intent,"percussion,synth,bass",negative,"emotional,passionate,soaring,inspirational,aweInspiring","aggressive,dark,energetic,scary","epic,sparkling",stomping,high,84,eMinor,4/4
Better in Time,2iXBZ32Fz5VDCLeE0JIdX5,Leona Lewis,292132220,2007,late 2000s / contemporary,high,female,"rnb,pop,rapHipHop,funkSoul",,,medium tempo uplifting randb pop with a hip hop beat and female vocals,"percussion,synth,strings,piano,bass",positive,"optimistic,bright,positive,uplifting,feelGood,inspirational,motivational","chilled,happy,romantic",bold,"groovy,flowing",low,82,fsMajor,4/4
Beneath Your Beautiful (feat. Emeli Sandé),2EcsgXlxz99UMDSPg5T8RF,"Labrinth, Emeli Sandé",337174969,2012-04-02,contemporary,high,female,"funkSoul,rnb,pop,rapHipHop","neoSoul,soul",,a gritty soulful track with strong female vocal,"percussion,strings,electricGuitar,bass,bassGuitar",balanced,"emotional,thoughtful,solemn,bittersweet,reflective",ambiguous,cool,stomping,medium,84,dMajor,4/4
Lost Boy,4h0zU3O9R5xzuTmNO7dNDU,Ruth B.,879622199,2015-08-21,mid / late 2000s,high,female,"pop,rock","bluesRock,folkRock,popSoftRock",,medium mid tempo pop song featuring acoustic piano electric guitar and soft female vocals,"piano,acousticGuitar",negative,"warm,romantic,dreamy,calm,sentimental,tender,reflective,soft,quiet,nostalgic,serene,soothing,leisurely,loving,tranquil,intimate,peaceful,lyrical,delicate,graceful","calm,chilled,romantic,sad,ethereal",warm,flowing,low,125,gMajor,4/4
Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,James Arthur,3133682610,2016-09-09,contemporary,high,male,"pop,rock,singerSongwriter","folkRock,indieAlternative,popSoftRock",,soulful pop song with male vocal fingersnaps and melodic synths,"percussion,acousticGuitar",balanced,"emotional,hopeful,solemn,reflective,warm","calm,chilled,romantic,sad,ethereal","sparkling,warm",flowing,low,95,bbMajor,4/4
I Don't Wanna Love You Anymore,7ArrTJ1LwcGAlEO65LUQ7i,LANY,149420551,2018-10-05,contemporary,high,male,"pop,rnb,electronicDance",,"indie poptimism, hopebeat, indie electropop",male vocal pop song with sweet synths. hopeful and motivational feeling.,"piano,synth,percussion,bass",positive,"inspirational,bright,uplifting,optimistic,hopeful","energetic,happy,romantic",sparkling,"driving,pulsing,flowing,bouncy,steady,stomping,running,groovy",medium,105,cMajor,4/4
Let It All Go,70K0ezmzYEZeqoSaZMyP7o,"Birdy, RHODES",260866211,2015-08-06,contemporary,high,female,pop,"indieAlternative,popSoftRock,psychedelicProgressiveRock",,rousing emotive female vocals. building to an epic emotional climax,"percussion,strings,piano,electricGuitar,bassGuitar",negative,"romantic,warm,kind,lyrical,graceful","calm,chilled,epic,romantic,sad","sparkling,warm","stomping,flowing,driving,pulsing",low,108,bbMajor,4/4
Goddess,4R3AU2pjv8ge2siX1fVbZs,Laufey,59502963,2024-03-06,contemporary,high,female,jazz,contemporaryJazz,"new age, string folk, celtic","a classical track, in a nostalgic mood.","piano,strings",negative,"melancholic,sentimental,nostalgic,emotional,sad,intimate,poignant,lonely,reflective,romantic,dreamy,bittersweet,delicate,blue,tender,introspective,soft,thoughtful,quiet,calm,mournful,peaceful,serene","sad,romantic","sophisticated,magical,warm,mysterious,ethereal,sparkling",flowing,low,158,fMajor,3/4
Superficial Love,5hwh37sTi84MVhCBMWzhGE,Ruth B.,230862340,2015-11-27,early / mid 1990s,high,female,pop,,,jazz song minimal electro jazz. confident sensual and intimate. female singer piano and rhythm,piano,balanced,"emotional,reflective,nostalgic,thoughtful,bittersweet,sentimental,solemn,romantic,spiritual","calm,chilled,romantic",playful,"bouncy,flowing",low,148,abMajor,4/4
